,control_var_0,control_var_1,control_var_2,control_var_3,control_var_4,ffn_0,ffn_1,ffn_2,ffn_3,ffn_4,resnet_0,resnet_1,resnet_2,resnet_3,resnet_4,differential_0,differential_1,differential_2,differential_3,differential_4,MC,poly_reg
pred_l1,0.08838255245713794,0.08717252120798138,0.09278673496697354,0.09259761392386892,0.09983182715999736,0.09256222067626639,0.09151641279803509,0.09722256165998493,0.09737678198174503,0.10602958193262405,0.06985576475873238,0.06773105818064012,0.07363573337448923,0.07320900415896309,0.07697042652610776,0.005644472490562704,0.005556040819549507,0.005305675098293723,0.005253400669324431,0.005171027051701405,0.0007031197481385193,0.10229028688273605
pred_l2,0.11306210851338207,0.11191203102767397,0.11820848021924878,0.11787367054042662,0.12724288431653405,0.11927919376774458,0.1180850088835188,0.124501878468402,0.12470683802481329,0.13604274851513515,0.0901164858298393,0.08703299523739094,0.09383285755942015,0.09364190883522779,0.09841885390730039,0.00737984058679322,0.007438001222856494,0.006915826219868294,0.00711016237179751,0.006798234313359181,0.0007352930241533589,0.1291593641707008
pred_l_inf,0.5038170421156312,0.4941443127532959,0.4889799633050537,0.5224484764972687,0.512033998457489,0.5886351072821046,0.5637879761138916,0.5629839196220398,0.6296591591621399,0.6147774202998352,0.5427847356871338,0.4293058904090881,0.5266403236413575,0.5273277250065613,0.5224300534601594,0.04946583305740354,0.05000284110450742,0.04363399352230071,0.062352626242551806,0.04445287047070122,0.0010414464966393006,0.5352217925161132
pred_lower_bound_violation,0.297,0.2961,0.3131,0.3221,0.3261,0.3048,0.304,0.3182,0.3298,0.3344,0.2554,0.2452,0.2679,0.2785,0.2773,0.0052,0.0083,0.0047,0.0078,0.0054,0.0,0.3216
grad_l1,0.0022941252199983856,0.002066606463843947,0.002254712781076157,0.0024252820682397654,0.0023332672572887237,0.0027199044000910453,0.003004851214038552,0.0026309062680894323,0.003093254918500113,0.0026531454187099764,0.0022867331700888267,0.002229921964717265,0.002083381587623979,0.002566803939597198,0.0021205891680067786,0.0006211877692836854,0.0006974184813341665,0.0005566090518190368,0.0006361529323617919,0.0005064112222589288,3.017241334126153e-05,0.1345536402420331
grad_l2,0.0028938243512058766,0.002625673026437848,0.002865328719479777,0.003067629976675538,0.0029602136166659108,0.003421634997231143,0.003727024507889536,0.0033155058071903465,0.0038630801364523256,0.003328537612022315,0.0028972663457672914,0.002756749135022265,0.0025961951994918847,0.0031970369963951984,0.0026315373797150625,0.0007592726160288234,0.0008833310083927069,0.0006862065354675096,0.0008511959032395542,0.0006313358079469901,3.437070777882453e-05,0.17242927969229285
grad_l_inf,0.013814303356541633,0.010838615835813713,0.012197766574194907,0.014356062452514648,0.013405702425275421,0.013767721242642594,0.013807615358917714,0.014278590301108361,0.017983482100306033,0.014228414161239242,0.012447317637337686,0.009743014404443383,0.009738296111542177,0.013666991742711257,0.010901109728598452,0.0033916924103203202,0.004853556101068019,0.0034070349905840867,0.008166381784731006,0.003375199199034215,6.816458327409992e-05,1.0267118361533203
grad_lower_bound_violation,0.0406,0.0611,0.0568,0.0743,0.0483,0.0921,0.1529,0.109,0.1593,0.1098,0.0535,0.0345,0.0473,0.0878,0.0526,0.0,0.0,0.0,0.0,0.0002,0.0,0.486
inference_time,0.06882810592651367,0.0649862289428711,0.06426000595092773,0.0857241153717041,0.08059906959533691,0.06028413772583008,0.0604701042175293,0.07541489601135254,0.05835270881652832,0.06234598159790039,0.0669412612915039,0.07241702079772949,0.07289886474609375,0.08305096626281738,0.07718610763549805,0.06526780128479004,0.0608677864074707,0.06575179100036621,0.06511092185974121,0.07994270324707031,131.37,52.41284108161926
train_time,13.627977132797241,15.527658939361572,16.817917823791504,14.795607089996338,17.413807153701782,16.66135287284851,15.111757040023804,15.35976791381836,14.618342876434326,13.95348596572876,14.142963886260986,15.081226110458374,17.124340057373047,21.208202123641968,14.998739957809448,19.298285007476807,17.272539138793945,18.1285240650177,17.4129798412323,18.3524968624115,,22.910832166671753
model_complexity,20902.0,20902.0,20902.0,20902.0,20902.0,20901.0,20901.0,20901.0,20901.0,20901.0,20901.0,20901.0,20901.0,20901.0,20901.0,20901.0,20901.0,20901.0,20901.0,20901.0,,5151.0
